formula,id,identifier,is_public,last_modified,project,KS_indirect_eV,KS_direct_eV,QP_indirect,QP_direct,C_value
Ta2Zn3O8,5f22a15ead184a29bf240d1c,mp-28251,True,2020-07-30T10:30:55.128000,dtu,4360.38,4362.09,6085.63,6087.34,1725.25
TlBF4,5f22a15eb58a4a3d3003a238,mp-510136,True,2020-07-30T10:30:54.202000,dtu,6888.48,6906.9,9755.83,9774.24,2867.34
K2ZrF6,5f22a15eb58a4a3d3003a23a,mp-5450,True,2020-07-30T10:30:54.410000,dtu,7853.8,7871.33,9919.5,9937.03,2065.71
GeF4,5f22a15eb58a4a3d3003a23c,mp-9816,True,2020-07-30T10:30:54.626000,dtu,7270.73,7506.67,9951.03,10187.0,2680.3
BaZr2F10,5f22a15eb58a4a3d3003a23e,mp-505400,True,2020-07-30T10:30:54.837000,dtu,7898.48,7898.42,9969.41,9969.35,2070.93
LaPO4,5f22a15eb58a4a3d3003a240,mp-3962,True,2020-07-30T10:30:55.050000,dtu,7555.35,7598.34,9957.37,10000.4,2402.02
FeSi2,5f22a15f314c69f46a0739f0,mp-1714,True,2020-07-30T10:30:55.294000,dtu,1097.64,1110.22,1468.88,1481.46,371.239
CsAuCl3,5f22a15f314c69f46a0739f2,mp-23484,True,2020-07-30T10:30:55.494000,dtu,1114.16,1114.15,1563.29,1563.28,449.123
Ca3BiN,5f22a15f314c69f46a0739f4,mp-31149,True,2020-07-30T10:30:55.693000,dtu,1108.95,1108.94,1641.44,1641.44,532.498
NaSe,5f22a15f314c69f46a0739f6,mp-15668,True,2020-07-30T10:30:55.893000,dtu,1042.95,1042.94,1558.97,1558.96,516.015
MgAs4,5f22a15f314c69f46a0739f8,mp-7623,True,2020-07-30T10:30:56.094000,dtu,1085.31,1127.35,1593.24,1635.28,507.934
HfTe3O8,5f22a15fad184a29bf240d1e,mp-18352,True,2020-07-30T10:30:55.337000,dtu,4525.14,4525.1,6115.32,6115.28,1590.18
K2MoO4,5f22a15fad184a29bf240d20,mp-18914,True,2020-07-30T10:30:55.545000,dtu,4793.1,4881.93,6115.38,6204.2,1322.28
KBrO3,5f22a15fad184a29bf240d22,mp-22958,True,2020-07-30T10:30:55.753000,dtu,4565.99,4572.57,6215.64,6222.22,1649.65
BeAlH5,5f22a15fad184a29bf240d24,mp-23719,True,2020-07-30T10:30:55.961000,dtu,4439.35,4452.46,6176.11,6189.22,1736.76
KReO4,5f22a15fad184a29bf240d26,mp-4757,True,2020-07-30T10:30:56.170000,dtu,4654.95,4659.82,6182.11,6186.98,1527.16
SiO2,5f22a15fb58a4a3d3003a242,mp-547211,True,2020-07-30T10:30:55.261000,dtu,7202.35,7202.3,10078.7,10078.7,2876.39
K2GeF6,5f22a15fb58a4a3d3003a244,mp-14168,True,2020-07-30T10:30:55.470000,dtu,7723.48,7723.42,10271.4,10271.3,2547.91
Rb2GeF6,5f22a15fb58a4a3d3003a246,mp-8812,True,2020-07-30T10:30:55.677000,dtu,7888.76,7888.71,10538.7,10538.6,2649.94
CsBe2BO3F2,5f22a15fb58a4a3d3003a248,mp-553342,True,2020-07-30T10:30:55.889000,dtu,7733.03,7743.67,10718.3,10729.0,2985.29
Cs2NaAlF6,5f22a15fb58a4a3d3003a24a,mp-6528,True,2020-07-30T10:30:56.097000,dtu,7985.3,7985.24,10793.0,10793.0,2807.73
Rb2Te3,5f22a160314c69f46a0739fa,mp-2095,True,2020-07-30T10:30:56.298000,dtu,1062.96,1177.04,1563.22,1677.31,500.262
RbAs,5f22a160314c69f46a0739fc,mp-10802,True,2020-07-30T10:30:56.502000,dtu,1037.95,1037.95,1563.75,1563.74,525.792
PdI2,5f22a160314c69f46a0739fe,mp-27747,True,2020-07-30T10:30:56.702000,dtu,1110.24,1128.77,1592.82,1611.34,482.577
BaAg2GeS4,5f22a160314c69f46a073a00,mp-7394,True,2020-07-30T10:30:56.902000,dtu,1108.23,1945.68,1579.71,2417.16,471.473
CuTe2Br,5f22a160314c69f46a073a02,mp-31036,True,2020-07-30T10:30:57.110000,dtu,1129.99,1348.51,1641.26,1859.78,511.268
NaLiS,5f22a160ad184a29bf240d28,mp-8452,True,2020-07-30T10:30:56.377000,dtu,4314.47,4314.44,6213.01,6212.97,1898.54
SrWO4,5f22a160ad184a29bf240d2a,mp-19163,True,2020-07-30T10:30:56.540000,dtu,4917.51,4917.47,6186.1,6186.06,1268.59
