snumat-id,formula,HSE,GGA
SM-11345,Ba2Ni1Mo1O6,3.223687,1.993364
SM-14622,Ba2Zn1N2,1.247396999999999,0.5877340000000001
SM-18513,Ba8Nb4N12,2.8514489999999992,1.9463489999999999
SM-15068,Ba8Ta4N12,2.933801,2.016588999999999
SM-18514,Ba8V4N12,2.249624,1.548295
SM-18329,Ba4Si10N16,4.067399000000001,2.888148999999999
SM-11347,Ba2Na1Re1O6,2.987835,1.8506259999999999
SM-11348,Ba2Y1Nb1O6,4.272385,2.875664
SM-11349,Ba2Te2Nb6O21,3.482821,2.148483
SM-11350,Ba4Te2Ni2O12,3.66465,2.395417
SM-3235,Ba2Ru7O18,0.10138799999999999,0.0
SM-14352,Ba4Te2O2,2.592886,1.7368510000000001
SM-11351,Ba2Te2Ta6O21,4.137619,2.803814
SM-3761,Ba2Pd1O3,1.664447,0.041664
SM-15723,Ba8Zn4O12,4.274529,3.153871
SM-3022,Ba2Pb1O4,2.131659,1.11556
SM-3491,Ba2Sn1O4,4.184926,2.64967
SM-19955,Ba8V4O16,2.648443,1.576757
SM-3833,Ba8Re4O20,0.135153,0.0
SM-13763,Ba8Tl8O20,0.316901,0.046588
SM-2517,Ba8W4O20,4.032197,2.7530419999999998
SM-11352,Ba2Y1Os1O6,1.9045079999999999,0.035452
SM-11354,Ba2Y1Ru1O6,2.096706,0.076401
SM-11355,Ba2Zn1Te1O6,2.052034,0.594777
SM-11356,Ba2Ti1Zr1O6,3.575074,2.17067
SM-20154,Ba4Si4V2O16,3.914627,2.507406
SM-13358,Ba4V2P4O18,3.66062,2.407844
SM-13359,Ba4V2P4O18,3.660796,2.407606
SM-17362,Ba4V6O18,2.979878,1.8970069999999999
SM-15086,Ba4Re12S22,2.033251,1.334823
SM-18378,Ba8Zn4S12,2.926276,2.080206
SM-18515,Ba8Zn4S12,3.017851999999999,2.139478999999999
SM-289,Ba4S6,2.608657,1.5750549999999999
SM-14738,Ba8Sn4S16,2.873422,1.919343
SM-14403,Ba8Ti4S16,2.868585,2.032742
SM-14402,Ba2Zr1S4,1.382358999999999,0.6100329999999999
SM-14428,Ba4Sb4Zn2,0.7903310000000001,0.356515
SM-4447,Ba16Sb24,0.365849,0.152212
SM-14647,Ba8Zn4Se12,2.642089,1.797120999999999
SM-19956,Ba4Se8Si2,3.160398,2.233674
SM-14532,Ba8Sn4Se16,2.009498,1.234772
SM-14924,Ba8Sn4Se20,2.0646619999999998,1.23376
SM-14451,Ba4Te8Si2,1.777488,1.100585999999999
SM-6970,Ba8Si4,0.42285799999999996,0.052264
SM-14664,Sn4Te20Ba8,0.39761100000000005,0.0
SM-5224,Sn4Ba8,0.42668799999999996,0.10789000000000001
SM-15758,Ba8Zn4Te12,1.9851489999999992,1.312657999999999
SM-14329,Ba6Bi2N2,1.29263,0.676003999999999
SM-4111,Bi2Ba6Na2O12,3.133697,1.751211
SM-4112,Ba6Te2Bi4O18,2.97382,2.146736
SM-13360,Ba12Br4Fe4S16,2.253771,1.242863
SM-11357,Ba12Fe8Br8O20,4.430853,3.046681
SM-11358,Ba3In2Br2O5,2.583724,1.363613
SM-13764,Ba6Co2C6N6,1.284792,0.749301
SM-11359,Ba6Ir2C6N6,1.239799,0.676057
SM-11360,Ba6Rh2C6N6,1.051796,0.5416369999999999
SM-13361,Ba6Ca2Ru4O18,2.646017,0.5811879999999999
SM-11362,Ba6Ca4Si4N12,2.550641,1.575186
SM-14631,Ba3Cd2Sb4,0.136241,0.0
SM-11363,Ba12Ga4Se16Cl4,3.592489,2.620961
SM-11364,Ba6In2S8Cl2,3.782858,2.755564
SM-13765,Ba6In2Se8Cl2,3.212567999999999,2.280779
SM-11365,Ba6Cu4Cl4O8,2.788271,1.027752
SM-11366,Ba12Fe8Cl8O20,4.476151,3.084579
SM-11367,Ba3In2Cl2O5,2.731665,1.473343
SM-11368,Tl2Ba3Cl2O5,0.07078000000000001,0.0
SM-13362,Ba6Co2Sb4O18,3.033237,1.856123
SM-14623,Ba6Cr2O10,2.761462,1.381547
SM-20155,Ba6Cr4Mo2O18,2.535845,1.608854
SM-20156,Ba6Cr4W2O18,3.443403,2.382577
SM-18120,Ba6Cr4S12,1.712328,0.8356299999999991
SM-13022,Ba3Y2Pt1Cu2O10,3.15499,1.160379
SM-11370,Ba3In2O5F2,3.029197,1.689154
SM-13363,Ba3Nb1Fe3Si2O14,3.943544,2.470192
SM-13023,Ba3Ta1Fe3Si2O14,4.042596,2.586069
SM-14779,Ba12Ga4P12,1.203054,0.5893519999999991
SM-11371,Ba3Ga2Ge4O14,3.808892,2.112478
SM-14626,Ba12Ga8N16,2.497458,1.493652
SM-18434,Ba6Ga4S12,3.6641269999999992,2.652866999999999
SM-11372,Ba12Ge4Mg4N16,2.269339,1.312603
SM-3023,Ba12Ge4O4,0.740163,0.334149
SM-14333,Ba12Ge4S20,3.047259,2.024901
SM-14346,Ba12I8Si4,0.673096,0.238319999999999
SM-14558,Ba3In2O6,2.010255,0.7579379999999991
